,MAF,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
bg_adult,13.54,26.31,26.06,20.91,0,37.09,31.86,15.33,3.54,2.59,4.23,7.08,22.09
bg_fry,191.9,235.16,222.88,183.41,0,300.88,322.46,225.82,154.43,152.68,141.29,157.08,274.72
bg_juv,124.29,150,151.11,116.07,0,206.02,203.48,138.78,105.59,106.13,95.15,105.11,170.05
bg_spawn,-0.99,9.92,10.37,7.04,0,18.97,12.34,-0.55,-9.27,-10.67,-7.22,-4.91,4.42
cc_adult,-8.44,-5.72,-4.56,-5.87,0,-3.57,-5.9,-8.92,-10.86,-11.83,-9.06,-8.24,-8.76
cc_fry,-28.48,-27.38,-25.16,-24.06,0,-27.01,-29.74,-29.1,-36.38,-37.36,-33.32,-29.9,-30.6
cc_spawn,-1.7,1.35,1.21,1.27,0,1.67,1.52,-1.61,-7.45,-8.55,-5.8,-4,0.36
gd_adult,-18.22,-9,-7.6,-8.79,0,-6.35,-9.54,-18.78,-29.34,-31.81,-25.03,-21.88,-15.19
gd_juv,19.03,29.2,28.12,23.97,0,37.42,34.82,21.29,3.34,-1.65,8.44,12.47,27.84
gd_spawn,-27.97,-17.42,-14.71,-17.55,0,-14.51,-18.17,-29.19,-36.59,-40.72,-30.45,-28.65,-26.7
gs_adult,-10.04,-7.19,-5.82,-7.44,0,-5.83,-7.4,-10.5,-12.03,-12.93,-10.24,-9.1,-10.52
gs_fry,18.97,27.33,25.32,23.25,0,34.06,31.82,21.18,10.35,9.05,11.05,13.68,27.95
gs_juv,-9.83,-7.42,-5.89,-7.93,0,-5.9,-7.51,-10.19,-11.51,-12.71,-9.47,-8.91,-10.55
gs_spawn,0,0,0,0,0,0,0,0,-6.96,-8.31,-4.8,-1.31,0
smb_adult,-15.68,-13.16,-11.83,-12.05,0,-12.43,-14.41,-16.26,-17.93,-18.34,-16.62,-15.04,-16.04
smb_fry,-0.83,3.92,4.21,2.64,0,8.15,4.92,-0.68,-6.3,-7.47,-4.55,-2.52,1.41
smb_inc,-37.74,-21.86,-16.98,-23.17,0,-10.87,-21.99,-39,-50.94,-53.6,-45.73,-41.24,-35.56
smb_juv,0,0,0,0,0,8.71,0,0,0,0,0,0,0
smb_spawn,-3.39,0,0,0,0,0,0,-3.39,-12.9,-14.26,-10.79,-7.51,0
ws_fry,25.52,34,32.75,28.01,0,47.78,40.68,28.28,11.78,9.75,13.12,17.98,35.31
ws_spawn,-4.62,15.84,18.43,9.13,0,32.31,21.39,-4.21,-13.86,-17.2,-9.72,-8.12,2.77
