"Facility_hydroid","wd_current_mgy","GWP_permit"
67005,28.22,NA
66944,27.0181666666667,"GWP"
73425,23.248,NA
90412,22.335,NA
67233,21.607696,"GWP"
71588,19.135,NA
66939,17.35475,"GWP"
66971,17.0829914,"GWP"
73529,16.8396,NA
71730,16.613556,NA
66979,16.3590618,"GWP"
66861,16.29054,"GWP"
67280,16.19746,"GWP"
66893,15.837524,"GWP"
67374,15.31888,"GWP"
72444,15.24,NA
67019,14.9275,NA
67012,14.6854088,"GWP"
66976,14.450323,"GWP"
72457,14.447697166,NA
67144,14.31095,NA
67358,14.25122,"GWP"
67420,14.22025,"GWP"
67027,13.7506666666667,NA
66888,13.6129383,"GWP"
73525,13.3928,NA
67197,12.9256425,"GWP"
67371,12.7564329666667,"GWP"
67000,12.530444,"GWP"
67096,12.517554,"GWP"
67038,11.78,"GWP"
73169,11.7754,NA
67438,11.465054,"GWP"
71599,11.396,NA
67193,11.35148,"GWP"
73439,11.1843333333333,NA
67053,11.0462966666667,"GWP"
66912,10.81048,"GWP"
67247,10.209,NA
90589,9.922476,"GWP"
67117,9.80675,"GWP"
67448,9.268,"GWP"
67416,9.2192,"GWP"
67010,9.08208,"GWP"
72416,9.0159002,NA
67081,8.99996666666667,"GWP"
67009,8.9727305,"GWP"
67216,8.6194754,"GWP"
71572,7.95566666666667,NA
74225,7.9493,NA
73038,7.937,NA
67405,7.821667,NA
67160,7.81632,"GWP"
73017,7.706,NA
74357,7.017,NA
67442,7.01539175,"GWP"
67331,6.981,"GWP"
74363,6.57408,NA
72450,6.291,NA
73528,6.199,NA
67267,6.1951984,"GWP"
67190,6.04702,"GWP"
66991,5.96636,"GWP"
90591,5.96566666666667,"GWP"
67228,5.7574,NA
67189,5.7075918,"GWP"
73561,5.5464,NA
66919,5.5264203,"GWP"
68649,5.49366666666667,NA
67295,5.4568724,"GWP"
67297,5.44527,"GWP"
67298,5.31528,"GWP"
74200,5.213,NA
67047,5.1125,NA
67192,5.1056,"GWP"
67256,4.83796,"GWP"
67697,4.8199575,"GWP"
67054,4.7595,"GWP"
67191,4.7398,"GWP"
67348,4.5706,"GWP"
67157,4.4466,"GWP"
450455,4.4268,"GWP"
67695,4.3398,"GWP"
67002,4.320085,"GWP"
72133,4.196,NA
74334,4.0736,NA
67020,4.04,"GWP"
67213,3.9996,"GWP"
414910,3.947,"GWP"
90443,3.91564166666667,NA
67675,3.8343,"GWP"
67443,3.8172665,NA
66951,3.789382,"GWP"
66974,3.70246666666667,"GWP"
73067,3.65,NA
73343,3.60573333333333,NA
73627,3.56506666666667,NA
67021,3.5305032,"GWP"
67349,3.512506,"GWP"
67248,3.40378,"GWP"
67127,3.33518166666667,"GWP"
73398,3.30373333333333,NA
67058,3.2559975,"GWP"
67452,3.07124,"GWP"
66850,2.90104925,"GWP"
390158,2.897,NA
66889,2.84314,"GWP"
450296,2.842488,"GWP"
402138,2.83802,"GWP"
193241,2.816675,"GWP"
66915,2.687212,"GWP"
67210,2.678,NA
66967,2.66986275,"GWP"
67075,2.578718,"GWP"
72511,2.51533333333333,NA
67255,2.41402,"GWP"
67042,2.37698670333333,NA
378561,2.335292,"GWP"
66914,2.313062,"GWP"
72645,2.3094,NA
67296,2.2926557,"GWP"
73410,2.26,NA
72403,2.13888,NA
66853,1.86240333333333,"GWP"
67017,1.8618042,"GWP"
67414,1.85,NA
66973,1.8453,"GWP"
67332,1.8301638,"GWP"
67130,1.74775,"GWP"
67435,1.44995458333333,"GWP"
67238,1.439,"GWP"
66895,1.405,"GWP"
73045,1.366288,NA
66926,1.33206,"GWP"
67387,1.325216,"GWP"
398647,1.321596,"GWP"
442630,1.3172,NA
73382,1.3146,NA
415495,1.3111,"GWP"
67171,1.20864,"GWP"
72417,1.2,NA
66953,1.19,"GWP"
72808,1.189602,NA
72586,1.067364,NA
72032,1.03187766666667,NA
67151,1.02604,NA
67402,0.968175,"GWP"
398681,0.903352,"GWP"
398646,0.8953,"GWP"
67177,0.82966,NA
450366,0.813638,"GWP"
67137,0.80282,NA
67357,0.78696,"GWP"
71637,0.7841566,NA
66862,0.705036,"GWP"
415621,0.696757,"GWP"
67165,0.6880896,"GWP"
67352,0.66,NA
67392,0.634,"GWP"
398648,0.62538,"GWP"
73777,0.623706,NA
72033,0.59458,NA
74083,0.5715228,NA
72921,0.566666666666667,NA
66931,0.504449272182,"GWP"
66977,0.42415,"GWP"
414964,0.339496,"GWP"
415481,0.3328,"GWP"
67307,0.31572,"GWP"
414960,0.171,"GWP"
67353,0.1532004,"GWP"
67142,0.13,NA
72534,0.0966666666666667,NA
71813,0.0726666666666667,NA
67125,0.0717475,NA
90437,0.063735,NA
67290,0.04668,NA
67265,0.0225405,NA
73671,0.0188,NA
415601,0.00349,"GWP"
74141,0.00001,NA
